NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
HONRADO_BREAST_CANCER_BRCA1_VS_BRCA2,HONRADO_BREAST_CANCER_BRCA1_VS_BRCA2,,17,0.5797293,1.5298495,0.08253359,0.18236546,1,2267,"tags=53%, list=11%, signal=59%"
REACTOME_FGFR2_ALTERNATIVE_SPLICING,REACTOME_FGFR2_ALTERNATIVE_SPLICING,,27,0.53833514,1.5294393,0.053497944,0.18247809,1,2998,"tags=44%, list=15%, signal=52%"
BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP,BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP,,120,0.36519834,1.5290027,0.025742574,0.18264051,1,2480,"tags=29%, list=12%, signal=33%"
REACTOME_CELLULAR_SENESCENCE,REACTOME_CELLULAR_SENESCENCE,,191,0.3842429,1.5289612,0.06841046,0.18236484,1,4364,"tags=43%, list=21%, signal=54%"
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION,,22,0.6109876,1.5283419,0.070726916,0.18270127,1,4007,"tags=59%, list=20%, signal=73%"
BIOCARTA_ATRBRCA_PATHWAY,BIOCARTA_ATRBRCA_PATHWAY,,22,0.6260448,1.5283276,0.060546875,0.18239585,1,2839,"tags=55%, list=14%, signal=63%"
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,,360,0.34585175,1.5281469,0.02734375,0.18227191,1,3185,"tags=30%, list=16%, signal=35%"
BENPORATH_ES_1,BENPORATH_ES_1,,379,0.40077025,1.5267417,0.066797644,0.18352164,1,3166,"tags=36%, list=15%, signal=42%"
CHEN_LUNG_CANCER_SURVIVAL,CHEN_LUNG_CANCER_SURVIVAL,,28,0.4909062,1.526245,0.042944785,0.18375343,1,2501,"tags=46%, list=12%, signal=53%"
KEGG_MEDICUS_REFERENCE_MICROTUBULE_NUCLEATION,KEGG_MEDICUS_REFERENCE_MICROTUBULE_NUCLEATION,,28,0.4850954,1.5257636,0.057539683,0.18397163,1,3454,"tags=39%, list=17%, signal=47%"
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,,33,0.54909015,1.5252354,0.051896207,0.18426631,1,2582,"tags=39%, list=13%, signal=45%"
REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS,REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS,,70,0.46845776,1.525085,0.056565657,0.1841158,1,5339,"tags=60%, list=26%, signal=81%"
SANSOM_APC_MYC_TARGETS,SANSOM_APC_MYC_TARGETS,,241,0.34752306,1.5248729,0.024844721,0.18402043,1,2879,"tags=31%, list=14%, signal=36%"
RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_DN,RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_DN,,16,0.64778435,1.5242311,0.06286837,0.18446614,1,2263,"tags=50%, list=11%, signal=56%"
REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA,REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA,,36,0.57075596,1.5235627,0.06963249,0.18491253,1,5134,"tags=61%, list=25%, signal=81%"
XU_CREBBP_TARGETS_UP,XU_CREBBP_TARGETS_UP,,21,0.50779617,1.5232242,0.04527559,0.1850061,1,5618,"tags=52%, list=27%, signal=72%"
GRUETZMANN_PANCREATIC_CANCER_UP,GRUETZMANN_PANCREATIC_CANCER_UP,,358,0.38344112,1.5230368,0.061895553,0.18489796,1,3059,"tags=35%, list=15%, signal=40%"
WP_PARKIN_UBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,WP_PARKIN_UBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY,,71,0.46835643,1.5224947,0.07058824,0.18522206,1,5092,"tags=58%, list=25%, signal=77%"
REACTOME_APOPTOSIS,REACTOME_APOPTOSIS,,178,0.3592073,1.5215651,0.045454547,0.18607587,1,5327,"tags=51%, list=26%, signal=68%"
REACTOME_HIV_LIFE_CYCLE,REACTOME_HIV_LIFE_CYCLE,,149,0.41040736,1.520571,0.037924152,0.18700536,1,4959,"tags=46%, list=24%, signal=61%"
REACTOME_TRNA_PROCESSING,REACTOME_TRNA_PROCESSING,,109,0.45890084,1.5199404,0.0625,0.18739271,1,5193,"tags=54%, list=25%, signal=72%"
MEBARKI_HCC_PROGENITOR_WNT_UP_CTNNB1_INDEPENDENT,MEBARKI_HCC_PROGENITOR_WNT_UP_CTNNB1_INDEPENDENT,,23,0.63097185,1.519692,0.09690721,0.1873652,1,773,"tags=35%, list=4%, signal=36%"
REACTOME_G0_AND_EARLY_G1,REACTOME_G0_AND_EARLY_G1,,27,0.5576618,1.5190325,0.09320388,0.18781029,1,4457,"tags=63%, list=22%, signal=80%"
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_7,YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_7,,73,0.42148614,1.515977,0.046938777,0.19089904,1,3721,"tags=42%, list=18%, signal=52%"
YANG_BREAST_CANCER_ESR1_UP,YANG_BREAST_CANCER_ESR1_UP,,36,0.56986445,1.5158266,0.079918034,0.190723,1,4604,"tags=67%, list=22%, signal=86%"
BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP,BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP,,16,0.5827593,1.5156674,0.06923077,0.19057831,1,2035,"tags=38%, list=10%, signal=42%"
WP_ATM_SIGNALING_PATHWAY,WP_ATM_SIGNALING_PATHWAY,,40,0.49313858,1.5154243,0.07692308,0.19052881,1,3815,"tags=43%, list=19%, signal=52%"
SCHLOSSER_SERUM_RESPONSE_AUGMENTED_BY_MYC,SCHLOSSER_SERUM_RESPONSE_AUGMENTED_BY_MYC,,106,0.41728076,1.5150087,0.055555556,0.1906713,1,4884,"tags=48%, list=24%, signal=63%"
XU_HGF_TARGETS_INDUCED_BY_AKT1_48HR_DN,XU_HGF_TARGETS_INDUCED_BY_AKT1_48HR_DN,,22,0.5489995,1.5145856,0.07456979,0.19087917,1,661,"tags=36%, list=3%, signal=38%"
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,,96,0.43912962,1.5145329,0.09664694,0.19061965,1,5130,"tags=56%, list=25%, signal=75%"
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,,94,0.40427893,1.5139847,0.044145875,0.19091676,1,5081,"tags=43%, list=25%, signal=56%"
REACTOME_RNA_POLYMERASE_II_PRE_TRANSCRIPTION_EVENTS,REACTOME_RNA_POLYMERASE_II_PRE_TRANSCRIPTION_EVENTS,,81,0.42191282,1.5138488,0.06090373,0.19076122,1,7138,"tags=63%, list=35%, signal=96%"
JEON_SMAD6_TARGETS_DN,JEON_SMAD6_TARGETS_DN,,19,0.54574955,1.513689,0.073469386,0.19062376,1,2267,"tags=47%, list=11%, signal=53%"
REACTOME_DUAL_INCISION_IN_GG_NER,REACTOME_DUAL_INCISION_IN_GG_NER,,41,0.47274822,1.5136076,0.06483301,0.19039656,1,2515,"tags=34%, list=12%, signal=39%"
GARY_CD5_TARGETS_DN,GARY_CD5_TARGETS_DN,,437,0.4216145,1.5128082,0.1015625,0.19100809,1,5193,"tags=49%, list=25%, signal=64%"
KEGG_MEDICUS_REFERENCE_GPI_ANCHOR_BIOSYNTHESIS,KEGG_MEDICUS_REFERENCE_GPI_ANCHOR_BIOSYNTHESIS,,24,0.5330172,1.512764,0.07539683,0.19074562,1,2251,"tags=42%, list=11%, signal=47%"
WIERENGA_PML_INTERACTOME,WIERENGA_PML_INTERACTOME,,42,0.4576694,1.5114418,0.04809619,0.19191843,1,3773,"tags=38%, list=18%, signal=47%"
DELLA_RESPONSE_TO_TSA_AND_BUTYRATE,DELLA_RESPONSE_TO_TSA_AND_BUTYRATE,,21,0.52544934,1.5107267,0.06300813,0.19247559,1,4519,"tags=48%, list=22%, signal=61%"
TOYOTA_TARGETS_OF_MIR34B_AND_MIR34C,TOYOTA_TARGETS_OF_MIR34B_AND_MIR34C,,449,0.3928848,1.5107024,0.09338521,0.19218123,1,3074,"tags=35%, list=15%, signal=40%"
CHICAS_RB1_TARGETS_GROWING,CHICAS_RB1_TARGETS_GROWING,,240,0.40363613,1.5105641,0.052941177,0.19203857,1,1657,"tags=31%, list=8%, signal=34%"
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,,78,0.4251194,1.510354,0.054,0.19196153,1,3455,"tags=36%, list=17%, signal=43%"
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_E2F6,,34,0.5164322,1.5097221,0.07364341,0.19237615,1,4490,"tags=47%, list=22%, signal=60%"
SESTO_RESPONSE_TO_UV_C4,SESTO_RESPONSE_TO_UV_C4,,20,0.49047434,1.5091395,0.055888224,0.19278738,1,2239,"tags=40%, list=11%, signal=45%"
BARIS_THYROID_CANCER_DN,BARIS_THYROID_CANCER_DN,,59,0.38632426,1.5087775,0.015686275,0.19289508,1,3589,"tags=37%, list=17%, signal=45%"
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP,,107,0.47379088,1.5084175,0.10950413,0.19297381,1,5358,"tags=59%, list=26%, signal=79%"
SANSOM_APC_TARGETS_UP,SANSOM_APC_TARGETS_UP,,130,0.3376129,1.5076678,0.016359918,0.1934938,1,2283,"tags=24%, list=11%, signal=27%"
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,,119,0.4400421,1.5076603,0.10429448,0.19318447,1,3731,"tags=47%, list=18%, signal=57%"
SYED_ESTRADIOL_RESPONSE,SYED_ESTRADIOL_RESPONSE,,18,0.529116,1.5072219,0.047227927,0.19338043,1,3633,"tags=44%, list=18%, signal=54%"
REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,,38,0.46341646,1.5063921,0.05154639,0.19396754,1,4794,"tags=53%, list=23%, signal=69%"
REACTOME_SIGNALING_BY_NOTCH,REACTOME_SIGNALING_BY_NOTCH,,231,0.36654302,1.5053786,0.05179283,0.19484855,1,4061,"tags=45%, list=20%, signal=55%"
WILLIAMS_ESR2_TARGETS_UP,WILLIAMS_ESR2_TARGETS_UP,,29,0.48331037,1.505008,0.040598292,0.19496453,1,5247,"tags=48%, list=26%, signal=65%"
ZHU_CMV_24_HR_UP,ZHU_CMV_24_HR_UP,,82,0.43899804,1.5048751,0.07528958,0.19477612,1,2644,"tags=38%, list=13%, signal=43%"
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS,,85,0.4958706,1.5036452,0.11683168,0.19586636,1,3731,"tags=56%, list=18%, signal=69%"
REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES,REACTOME_RNA_POLYMERASE_II_TRANSCRIBES_SNRNA_GENES,,76,0.41202265,1.5035669,0.03777336,0.19564377,1,6754,"tags=53%, list=33%, signal=78%"
PID_MYC_ACTIV_PATHWAY,PID_MYC_ACTIV_PATHWAY,,79,0.41092294,1.5031484,0.06732673,0.19578142,1,2896,"tags=35%, list=14%, signal=41%"
JIANG_VHL_TARGETS,JIANG_VHL_TARGETS,,88,0.41160405,1.5015461,0.034979425,0.19728413,1,3859,"tags=42%, list=19%, signal=52%"
WP_NF1_COPY_NUMBER_VARIATION_SYNDROME,WP_NF1_COPY_NUMBER_VARIATION_SYNDROME,,102,0.4089919,1.5012306,0.064705886,0.19734187,1,3657,"tags=43%, list=18%, signal=52%"
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,,18,0.54784954,1.5009924,0.07170542,0.19730313,1,2251,"tags=39%, list=11%, signal=44%"
DANG_MYC_TARGETS_UP,DANG_MYC_TARGETS_UP,,129,0.4562442,1.5004823,0.09218437,0.1975285,1,3361,"tags=38%, list=16%, signal=45%"
REACTOME_MITOCHONDRIAL_TRANSLATION,REACTOME_MITOCHONDRIAL_TRANSLATION,,94,0.5683869,1.5003904,0.122,0.19731203,1,4727,"tags=56%, list=23%, signal=73%"
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM,SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM,,160,0.46449992,1.5003586,0.09657948,0.1970335,1,4300,"tags=47%, list=21%, signal=59%"
REACTOME_GLYCOLYSIS,REACTOME_GLYCOLYSIS,,73,0.43238986,1.4992746,0.06451613,0.19795252,1,5161,"tags=51%, list=25%, signal=67%"
PID_P38_MK2_PATHWAY,PID_P38_MK2_PATHWAY,,21,0.46022654,1.4989973,0.040816326,0.19794852,1,2194,"tags=33%, list=11%, signal=37%"
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,,229,0.37860748,1.4988679,0.06418219,0.19778551,1,3788,"tags=43%, list=18%, signal=52%"
LI_LUNG_CANCER,LI_LUNG_CANCER,,41,0.46025395,1.4987619,0.054054055,0.19758914,1,1957,"tags=34%, list=10%, signal=38%"
REACTOME_MICRORNA_MIRNA_BIOGENESIS,REACTOME_MICRORNA_MIRNA_BIOGENESIS,,24,0.46881032,1.496961,0.042769857,0.19937983,1,2998,"tags=38%, list=15%, signal=44%"
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,,36,0.6391347,1.4961743,0.098,0.19999525,1,3464,"tags=72%, list=17%, signal=87%"
SESTO_RESPONSE_TO_UV_C1,SESTO_RESPONSE_TO_UV_C1,,74,0.41552192,1.4952933,0.05928854,0.20069298,1,3316,"tags=36%, list=16%, signal=43%"
JAIN_NFKB_SIGNALING,JAIN_NFKB_SIGNALING,,74,0.38283008,1.4949014,0.04699248,0.20083115,1,5647,"tags=49%, list=28%, signal=67%"
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1,SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1,,259,0.32993734,1.4943644,0.01002004,0.20114014,1,4642,"tags=40%, list=23%, signal=51%"
SANSOM_APC_TARGETS_REQUIRE_MYC,SANSOM_APC_TARGETS_REQUIRE_MYC,,224,0.40961346,1.4939547,0.09221312,0.20125705,1,4753,"tags=45%, list=23%, signal=57%"
REACTOME_INSULIN_RECEPTOR_RECYCLING,REACTOME_INSULIN_RECEPTOR_RECYCLING,,30,0.5463637,1.4935778,0.06822612,0.20137031,1,4756,"tags=50%, list=23%, signal=65%"
WP_FAS_LIGAND_PATHWAY_AND_STRESS_INDUCTION_OF_HEAT_SHOCK_PROTEINS,WP_FAS_LIGAND_PATHWAY_AND_STRESS_INDUCTION_OF_HEAT_SHOCK_PROTEINS,,42,0.42551133,1.4933748,0.046421662,0.2013182,1,4375,"tags=43%, list=21%, signal=54%"
PID_AURORA_A_PATHWAY,PID_AURORA_A_PATHWAY,,31,0.482412,1.4921931,0.090361446,0.20236772,1,1957,"tags=39%, list=10%, signal=43%"
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1,,231,0.38033158,1.4916481,0.06746032,0.20269044,1,4778,"tags=49%, list=23%, signal=64%"
REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE,REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE,,23,0.5388439,1.4906319,0.07581967,0.20354068,1,3489,"tags=43%, list=17%, signal=52%"
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,,24,0.5848633,1.4888929,0.10344828,0.2052871,1,3629,"tags=54%, list=18%, signal=66%"
PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_DN,PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_DN,,146,0.3343319,1.4881436,0.025390625,0.20581828,1,4530,"tags=40%, list=22%, signal=51%"
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,,24,0.5174007,1.4875735,0.085192695,0.2061871,1,1412,"tags=29%, list=7%, signal=31%"
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN,REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN,,34,0.5665887,1.4875474,0.09596929,0.20588616,1,5134,"tags=62%, list=25%, signal=82%"
REACTOME_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,REACTOME_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT,,121,0.44955727,1.4874597,0.09494949,0.20565361,1,4004,"tags=46%, list=20%, signal=57%"
REACTOME_FORMATION_OF_PARAXIAL_MESODERM,REACTOME_FORMATION_OF_PARAXIAL_MESODERM,,69,0.44801167,1.487347,0.08582834,0.2054488,1,4761,"tags=59%, list=23%, signal=77%"
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,,183,0.42596117,1.4872565,0.08016032,0.20524329,1,3731,"tags=40%, list=18%, signal=49%"
PID_BARD1_PATHWAY,PID_BARD1_PATHWAY,,29,0.5924255,1.4869903,0.10453649,0.20525265,1,4063,"tags=59%, list=20%, signal=73%"
REACTOME_KEAP1_NFE2L2_PATHWAY,REACTOME_KEAP1_NFE2L2_PATHWAY,,125,0.40211183,1.4869487,0.09108527,0.20499392,1,5130,"tags=51%, list=25%, signal=68%"
REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES,,138,0.44213378,1.486463,0.11133603,0.20524688,1,3731,"tags=47%, list=18%, signal=57%"
WP_CILIARY_LANDSCAPE,WP_CILIARY_LANDSCAPE,,215,0.35186508,1.4862345,0.027079303,0.20521393,1,5696,"tags=48%, list=28%, signal=66%"
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,,68,0.39087352,1.4862312,0.057471264,0.20490251,1,4925,"tags=44%, list=24%, signal=58%"
SMIRNOV_RESPONSE_TO_IR_6HR_DN,SMIRNOV_RESPONSE_TO_IR_6HR_DN,,114,0.4223396,1.4861711,0.08431373,0.20464724,1,3750,"tags=37%, list=18%, signal=45%"
GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_DN,GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_DN,,104,0.3752734,1.4859588,0.057259712,0.20457537,1,3475,"tags=37%, list=17%, signal=44%"
REACTOME_ZINC_TRANSPORTERS,REACTOME_ZINC_TRANSPORTERS,,15,0.58865565,1.4847424,0.056420233,0.2056439,1,4941,"tags=60%, list=24%, signal=79%"
KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY,KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY,,17,0.57338184,1.4833238,0.09055877,0.20698756,1,2899,"tags=59%, list=14%, signal=68%"
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX,,87,0.4927553,1.4826204,0.12273642,0.20745549,1,3731,"tags=55%, list=18%, signal=67%"
ZHANG_BREAST_CANCER_PROGENITORS_DN,ZHANG_BREAST_CANCER_PROGENITORS_DN,,137,0.3044538,1.4825954,0.005859375,0.20717648,1,3761,"tags=32%, list=18%, signal=39%"
REACTOME_DEUBIQUITINATION,REACTOME_DEUBIQUITINATION,,274,0.34693173,1.4822919,0.044354837,0.2072532,1,4794,"tags=45%, list=23%, signal=57%"
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP,SENGUPTA_NASOPHARYNGEAL_CARCINOMA_UP,,300,0.4522577,1.4814427,0.11890838,0.20796339,1,2755,"tags=37%, list=13%, signal=42%"
YOKOE_CANCER_TESTIS_ANTIGENS,YOKOE_CANCER_TESTIS_ANTIGENS,,35,0.47183013,1.4804386,0.048780486,0.20879722,1,5794,"tags=54%, list=28%, signal=75%"
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,,25,0.50195724,1.4801675,0.07952286,0.20883685,1,2251,"tags=40%, list=11%, signal=45%"
KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,KEGG_MEDICUS_PATHOGEN_SHIGELLA_IPGD_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,,29,0.49949756,1.4795625,0.08846154,0.20928937,1,2966,"tags=48%, list=14%, signal=56%"
SMID_BREAST_CANCER_ERBB2_UP,SMID_BREAST_CANCER_ERBB2_UP,,140,0.45149276,1.4793931,0.10191083,0.20917952,1,5564,"tags=48%, list=27%, signal=65%"
BIOCARTA_CHEMICAL_PATHWAY,BIOCARTA_CHEMICAL_PATHWAY,,18,0.4724521,1.4789307,0.04868914,0.20946266,1,1351,"tags=33%, list=7%, signal=36%"
REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS,REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS,,29,0.4512937,1.4782771,0.06048387,0.2099286,1,4749,"tags=55%, list=23%, signal=72%"
WHITFIELD_CELL_CYCLE_S,WHITFIELD_CELL_CYCLE_S,,145,0.4296063,1.4782137,0.11238095,0.20968029,1,3700,"tags=42%, list=18%, signal=51%"
REACTOME_CHOLESTEROL_BIOSYNTHESIS,REACTOME_CHOLESTEROL_BIOSYNTHESIS,,27,0.6009836,1.4775623,0.112266116,0.2101427,1,2816,"tags=48%, list=14%, signal=56%"
MAGRANGEAS_MULTIPLE_MYELOMA_IGG_VS_IGA_DN,MAGRANGEAS_MULTIPLE_MYELOMA_IGG_VS_IGA_DN,,26,0.47905755,1.4773614,0.051181104,0.21005699,1,3526,"tags=46%, list=17%, signal=56%"
PODAR_RESPONSE_TO_ADAPHOSTIN_DN,PODAR_RESPONSE_TO_ADAPHOSTIN_DN,,18,0.5541408,1.4766504,0.08722109,0.21054278,1,2252,"tags=39%, list=11%, signal=44%"
TSENG_IRS1_TARGETS_UP,TSENG_IRS1_TARGETS_UP,,115,0.34737575,1.47649,0.030800821,0.21043095,1,3629,"tags=37%, list=18%, signal=44%"
WP_FLUOROPYRIMIDINE_ACTIVITY,WP_FLUOROPYRIMIDINE_ACTIVITY,,33,0.42160562,1.4763212,0.040733196,0.21028782,1,3079,"tags=39%, list=15%, signal=46%"
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2,,120,0.38084012,1.4743152,0.08203125,0.21229522,1,4761,"tags=51%, list=23%, signal=66%"
PEART_HDAC_PROLIFERATION_CLUSTER_UP,PEART_HDAC_PROLIFERATION_CLUSTER_UP,,53,0.41736004,1.472852,0.053061225,0.2137613,1,973,"tags=26%, list=5%, signal=28%"
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,,118,0.44399652,1.4719708,0.11290322,0.21445559,1,5358,"tags=61%, list=26%, signal=82%"
REACTOME_HEDGEHOG_ON_STATE,REACTOME_HEDGEHOG_ON_STATE,,86,0.4083816,1.4716654,0.092156865,0.2144547,1,5130,"tags=56%, list=25%, signal=74%"
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL,FARMER_BREAST_CANCER_BASAL_VS_LULMINAL,,328,0.3080171,1.4714375,0.006024096,0.21441361,1,3507,"tags=35%, list=17%, signal=41%"
BIOCARTA_TNFR1_PATHWAY,BIOCARTA_TNFR1_PATHWAY,,29,0.43794644,1.4697969,0.051485147,0.21605094,1,4892,"tags=41%, list=24%, signal=54%"
WP_MRNA_PROCESSING,WP_MRNA_PROCESSING,,125,0.44828027,1.4696144,0.10714286,0.21596621,1,4122,"tags=42%, list=20%, signal=52%"
YU_BAP1_TARGETS,YU_BAP1_TARGETS,,29,0.49017003,1.4683987,0.11198428,0.21708749,1,3717,"tags=45%, list=18%, signal=55%"
REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN,REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN,,53,0.46039683,1.4682069,0.10852713,0.21700338,1,4753,"tags=51%, list=23%, signal=66%"
ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,,130,0.41046268,1.4669306,0.056842104,0.21818316,1,3685,"tags=38%, list=18%, signal=47%"
WHITFIELD_CELL_CYCLE_G1_S,WHITFIELD_CELL_CYCLE_G1_S,,130,0.41433015,1.4662709,0.0984556,0.2186992,1,3022,"tags=33%, list=15%, signal=39%"
CHEN_HOXA5_TARGETS_9HR_DN,CHEN_HOXA5_TARGETS_9HR_DN,,42,0.44130346,1.4659472,0.065979384,0.21875712,1,2610,"tags=38%, list=13%, signal=44%"
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS,REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS,,37,0.51313496,1.4658252,0.092156865,0.21858503,1,5134,"tags=57%, list=25%, signal=76%"
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY,,30,0.4797673,1.4647729,0.086872585,0.2195017,1,2966,"tags=47%, list=14%, signal=54%"
